"Geslacht";"Persoonskenmerken";"Regio's";"Perioden";"Personen (x 1 000)";"Personen met persoonlijk inkomen (x 1 000)";"Aandeel personen (%)";"Gemiddeld gestandaardiseerd inkomen (1 000 euro)";"Mediaan gestandaardiseerd inkomen (1 000 euro)";"Gemiddeld persoonlijk inkomen (1 000 euro)";"Mediaan persoonlijk inkomen (1 000 euro)"
"Totaal mannen en vrouwen";"Totaal personen";"Bladel";"2021";"    20.2";"    17.0";"     100";"    37.9";"    34.8";"    34.3";"    28.7"
"Totaal mannen en vrouwen";"Totaal personen";"Blaricum";"2021";"    11.8";"     9.0";"     100";"    65.8";"    40.3";"    56.3";"    33.7"
"Totaal mannen en vrouwen";"Totaal personen";"Bloemendaal";"2021";"    22.8";"    17.9";"     100";"    71.7";"    46.0";"    60.4";"    35.2"
"Totaal mannen en vrouwen";"Totaal personen";"Bodegraven-Reeuwijk";"2021";"    34.9";"    28.0";"     100";"    40.4";"    35.8";"    38.2";"    30.3"
"Totaal mannen en vrouwen";"Totaal personen";"Boekel";"2021";"    10.6";"     8.8";"     100";"    37.9";"    34.6";"    32.8";"    27.9"
"Totaal mannen en vrouwen";"Totaal personen";"Borger-Odoorn";"2021";"    25.3";"    21.1";"     100";"    33.9";"    31.4";"    31.8";"    26.1"
"Totaal mannen en vrouwen";"Totaal personen";"Borne";"2021";"    23.4";"    18.9";"     100";"    38.1";"    33.6";"    35.4";"    29.2"
"Totaal mannen en vrouwen";"Totaal personen";"Borsele";"2021";"    22.5";"    18.3";"     100";"    37.9";"    33.7";"    34.2";"    28.3"
"Totaal mannen en vrouwen";"Totaal personen";"Boxtel";"2021";"    32.2";"    26.7";"     100";"    37.9";"    33.5";"    34.5";"    28.0"
"Totaal mannen en vrouwen";"Totaal personen";"Breda";"2021";"   180.3";"   148.0";"     100";"    37.5";"    33.6";"    37.8";"    29.3"
"Totaal mannen en vrouwen";"Totaal personen";"Bronckhorst";"2021";"    35.6";"    30.2";"     100";"    38.0";"    33.9";"    33.4";"    26.9"
"Totaal mannen en vrouwen";"Totaal personen";"Brummen";"2021";"    20.5";"    17.3";"     100";"    36.6";"    33.3";"    34.0";"    27.6"
"Totaal mannen en vrouwen";"Totaal personen";"Brunssum";"2021";"    27.2";"    23.0";"     100";"    30.8";"    28.8";"    30.0";"    25.0"
"Totaal mannen en vrouwen";"Totaal personen";"Bunnik";"2021";"    15.2";"    12.0";"     100";"    41.7";"    39.1";"    42.5";"    35.0"
"Totaal mannen en vrouwen";"Totaal personen";"Bunschoten";"2021";"    21.7";"    17.1";"     100";"    38.2";"    34.8";"    35.2";"    29.0"
"Totaal mannen en vrouwen";"Totaal personen";"Buren";"2021";"    26.8";"    22.0";"     100";"    39.6";"    35.4";"    37.4";"    29.5"
"Totaal mannen en vrouwen";"Totaal personen";"Capelle aan den IJssel";"2021";"    66.3";"    53.6";"     100";"    34.5";"    31.8";"    35.5";"    28.8"
"Totaal mannen en vrouwen";"Totaal personen";"Castricum";"2021";"    35.5";"    29.6";"     100";"    41.8";"    37.3";"    39.8";"    31.7"
"Totaal mannen en vrouwen";"Totaal personen";"Coevorden";"2021";"    34.6";"    28.8";"     100";"    33.7";"    31.4";"    31.7";"    25.9"
"Totaal mannen en vrouwen";"Totaal personen";"Cranendonck";"2021";"    20.1";"    16.7";"     100";"    36.6";"    33.5";"    34.1";"    27.8"
"Totaal mannen en vrouwen";"Totaal personen";"Culemborg";"2021";"    28.8";"    23.1";"     100";"    36.2";"    33.6";"    36.9";"    30.2"
"Totaal mannen en vrouwen";"Totaal personen";"Dalfsen";"2021";"    28.6";"    23.4";"     100";"    36.8";"    33.9";"    33.5";"    28.3"
"Totaal mannen en vrouwen";"Totaal personen";"Dantumadiel";"2021";"    18.5";"    14.8";"     100";"    31.7";"    29.4";"    28.9";"    23.8"
"Totaal mannen en vrouwen";"Totaal personen";"Delft";"2021";"    99.2";"    81.6";"     100";"    32.1";"    28.9";"    33.6";"    26.4"
"Totaal mannen en vrouwen";"Totaal personen";"Deurne";"2021";"    31.8";"    26.3";"     100";"    35.9";"    33.1";"    33.3";"    27.3"
"Totaal mannen en vrouwen";"Totaal personen";"Deventer";"2021";"    98.9";"    80.9";"     100";"    33.7";"    31.3";"    33.5";"    27.7"
"Totaal mannen en vrouwen";"Totaal personen";"Diemen";"2021";"    30.2";"    24.6";"     100";"    35.7";"    33.6";"    38.3";"    31.0"
"Totaal mannen en vrouwen";"Totaal personen";"Dijk en Waard";"2021";"    85.0";"    68.7";"     100";"    36.2";"    33.8";"    34.7";"    29.0"
"Totaal mannen en vrouwen";"Totaal personen";"Dinkelland";"2021";"    26.1";"    22.0";"     100";"    38.7";"    35.5";"    33.1";"    28.1"
"Totaal mannen en vrouwen";"Totaal personen";"Doesburg";"2021";"    10.9";"     9.3";"     100";"    32.5";"    30.1";"    31.4";"    25.5"
"Totaal mannen en vrouwen";"Totaal personen";"Doetinchem";"2021";"    56.8";"    46.9";"     100";"    34.3";"    31.7";"    32.5";"    26.9"
"Totaal mannen en vrouwen";"Totaal personen";"Dongen";"2021";"    25.9";"    21.4";"     100";"    36.6";"    34.0";"    34.6";"    28.7"
"Totaal mannen en vrouwen";"Totaal personen";"Dordrecht";"2021";"   116.5";"    94.7";"     100";"    34.2";"    31.6";"    34.5";"    28.1"
"Totaal mannen en vrouwen";"Totaal personen";"Drechterland";"2021";"    19.6";"    16.2";"     100";"    39.0";"    34.3";"    34.8";"    28.3"
"Totaal mannen en vrouwen";"Totaal personen";"Drimmelen";"2021";"    26.7";"    22.3";"     100";"    38.0";"    34.9";"    35.6";"    28.8"
"Totaal mannen en vrouwen";"Totaal personen";"Dronten";"2021";"    41.0";"    33.3";"     100";"    35.1";"    32.4";"    33.9";"    28.2"
"Totaal mannen en vrouwen";"Totaal personen";"Druten";"2021";"    18.5";"    15.3";"     100";"    36.0";"    33.6";"    34.3";"    28.4"
"Totaal mannen en vrouwen";"Totaal personen";"Duiven";"2021";"    24.8";"    20.7";"     100";"    35.9";"    33.8";"    34.5";"    28.3"
"Totaal mannen en vrouwen";"Totaal personen";"Echt-Susteren";"2021";"    30.7";"    26.0";"     100";"    35.2";"    32.4";"    33.5";"    27.1"
"Totaal mannen en vrouwen";"Totaal personen";"Edam-Volendam";"2021";"    35.9";"    29.7";"     100";"    40.9";"    36.7";"    36.7";"    28.6"
"Totaal mannen en vrouwen";"Totaal personen";"Ede";"2021";"   116.6";"    92.7";"     100";"    36.8";"    33.4";"    35.1";"    28.7"
"Totaal mannen en vrouwen";"Totaal personen";"Eemnes";"2021";"     9.3";"     7.6";"     100";"    40.6";"    36.3";"    39.0";"    30.5"
