"Sector en vermogensklasse";"Regio's";"Perioden";"Installaties (aantal)";"Opgesteld vermogen van zonnepanelen (kWp)";"Opgesteld vermogen omvormers (kW)";"Productie van zonnestroom (mln kWh)"
"Woningen";"Appingedam";"2021 ";"";"";"";""
"Woningen";"Appingedam";"2022";"";"";"";""
"Woningen";"Arnhem";"2019";"    6384";"   20182";"";"       ."
"Woningen";"Arnhem";"2020";"    8294";"   27294";"";"       ."
"Woningen";"Arnhem";"2021 ";"   10353";"   35211";"";"       ."
"Woningen";"Arnhem";"2022";"   13819";"   47853";"   45724";"       ."
"Woningen";"Assen";"2019";"    6297";"   19974";"";"       ."
"Woningen";"Assen";"2020";"    8319";"   26509";"";"       ."
"Woningen";"Assen";"2021 ";"    9746";"   32054";"";"       ."
"Woningen";"Assen";"2022";"   11472";"   42105";"   40092";"       ."
"Woningen";"Asten";"2019";"     974";"    4482";"";"       ."
"Woningen";"Asten";"2020";"    1418";"    6608";"";"       ."
"Woningen";"Asten";"2021 ";"    1958";"    9205";"";"       ."
"Woningen";"Asten";"2022";"    2542";"   12337";"   11820";"       ."
"Woningen";"Baarle-Nassau";"2019";"     263";"    1060";"";"       ."
"Woningen";"Baarle-Nassau";"2020";"     414";"    1855";"";"       ."
"Woningen";"Baarle-Nassau";"2021 ";"     559";"    2654";"";"       ."
"Woningen";"Baarle-Nassau";"2022";"     726";"    3636";"    3402";"       ."
"Woningen";"Baarn";"2019";"    1512";"    3772";"";"       ."
"Woningen";"Baarn";"2020";"    1763";"    4766";"";"       ."
"Woningen";"Baarn";"2021 ";"    2154";"    6313";"";"       ."
"Woningen";"Baarn";"2022";"    2817";"    8861";"    8361";"       ."
"Woningen";"Barendrecht";"2019";"    1890";"    6016";"";"       ."
"Woningen";"Barendrecht";"2020";"    2833";"    9579";"";"       ."
"Woningen";"Barendrecht";"2021 ";"    4314";"   15023";"";"       ."
"Woningen";"Barendrecht";"2022";"    6451";"   23039";"   21007";"       ."
"Woningen";"Barneveld";"2019";"    3318";"   12350";"";"       ."
"Woningen";"Barneveld";"2020";"    4480";"   17478";"";"       ."
"Woningen";"Barneveld";"2021 ";"    5539";"   21824";"";"       ."
"Woningen";"Barneveld";"2022";"    7771";"   32050";"   30321";"       ."
"Woningen";"Beek (L.)";"2019";"    1737";"    5813";"";"       ."
"Woningen";"Beek (L.)";"2020";"    2038";"    7276";"";"       ."
"Woningen";"Beek (L.)";"2021 ";"    2388";"    9062";"";"       ."
"Woningen";"Beek (L.)";"2022";"    2868";"   11485";"   11034";"       ."
"Woningen";"Beekdaelen";"2019";"    3453";"   13993";"";"       ."
"Woningen";"Beekdaelen";"2020";"    4273";"   17856";"";"       ."
"Woningen";"Beekdaelen";"2021 ";"    5108";"   21950";"";"       ."
"Woningen";"Beekdaelen";"2022";"    6302";"   27930";"   26755";"       ."
"Woningen";"Beemster";"2019";"     650";"    2579";"";"       ."
"Woningen";"Beemster";"2020";"     892";"    3474";"";"       ."
"Woningen";"Beemster";"2021 ";"    1246";"    4408";"";"       ."
"Woningen";"Beemster";"2022";"";"";"";""
"Woningen";"Beesel";"2019";"    1159";"    4522";"";"       ."
"Woningen";"Beesel";"2020";"    1507";"    6121";"";"       ."
"Woningen";"Beesel";"2021 ";"    1767";"    7323";"";"       ."
"Woningen";"Beesel";"2022";"    2305";"    9892";"    9447";"       ."
"Woningen";"Berg en Dal";"2019";"    2256";"    8269";"";"       ."
"Woningen";"Berg en Dal";"2020";"    2906";"   10977";"";"       ."
"Woningen";"Berg en Dal";"2021 ";"    3705";"   14228";"";"       ."
"Woningen";"Berg en Dal";"2022";"    4811";"   19130";"   18249";"       ."
"Woningen";"Bergeijk";"2019";"    1231";"    5755";"";"       ."
"Woningen";"Bergeijk";"2020";"    1725";"    8400";"";"       ."
"Woningen";"Bergeijk";"2021 ";"    2268";"   11100";"";"       ."
"Woningen";"Bergeijk";"2022";"    2847";"   14570";"   13767";"       ."
"Woningen";"Bergen (L.)";"2019";"     835";"    3842";"";"       ."
"Woningen";"Bergen (L.)";"2020";"    1220";"    5510";"";"       ."
"Woningen";"Bergen (L.)";"2021 ";"    1660";"    7229";"";"       ."
"Woningen";"Bergen (L.)";"2022";"    2080";"    9309";"    8876";"       ."
"Woningen";"Bergen (NH.)";"2019";"    2970";"    8693";"";"       ."
"Woningen";"Bergen (NH.)";"2020";"    3856";"   12232";"";"       ."
"Woningen";"Bergen (NH.)";"2021 ";"    4756";"   15280";"";"       ."
"Woningen";"Bergen (NH.)";"2022";"    5800";"   19440";"   18673";"       ."
"Woningen";"Bergen op Zoom";"2019";"    4682";"   12415";"";"       ."
"Woningen";"Bergen op Zoom";"2020";"    5702";"   16995";"";"       ."
"Woningen";"Bergen op Zoom";"2021 ";"    7296";"   23292";"";"       ."
"Woningen";"Bergen op Zoom";"2022";"    9138";"   30636";"   29154";"       ."
"Woningen";"Berkelland";"2019";"    3259";"   13197";"";"       ."
"Woningen";"Berkelland";"2020";"    4098";"   17151";"";"       ."
"Woningen";"Berkelland";"2021 ";"    5020";"   21475";"";"       ."
"Woningen";"Berkelland";"2022";"    6350";"   28370";"   27307";"       ."
"Woningen";"Bernheze";"2019";"    1764";"    7733";"";"       ."
"Woningen";"Bernheze";"2020";"    2737";"   12513";"";"       ."
"Woningen";"Bernheze";"2021 ";"    3695";"   16993";"";"       ."
"Woningen";"Bernheze";"2022";"    4904";"   23201";"   22004";"       ."
"Woningen";"Best";"2019";"    2444";"    9138";"";"       ."
"Woningen";"Best";"2020";"    3248";"   12766";"";"       ."
"Woningen";"Best";"2021 ";"    4097";"   16708";"";"       ."
"Woningen";"Best";"2022";"    5051";"   21772";"   20764";"       ."
"Woningen";"Beuningen";"2019";"    1598";"    5941";"";"       ."
"Woningen";"Beuningen";"2020";"    2263";"    9001";"";"       ."
"Woningen";"Beuningen";"2021 ";"    2891";"   11875";"";"       ."
"Woningen";"Beuningen";"2022";"    3851";"   16256";"   15492";"       ."
"Woningen";"Beverwijk";"2019";"    2050";"    6279";"";"       ."
"Woningen";"Beverwijk";"2020";"    2822";"    8782";"";"       ."
"Woningen";"Beverwijk";"2021 ";"    3502";"   11017";"";"       ."
"Woningen";"Beverwijk";"2022";"    4397";"   14245";"   13576";"       ."
"Woningen";"De Bilt";"2019";"    1600";"    5297";"";"       ."
"Woningen";"De Bilt";"2020";"    2134";"    7649";"";"       ."
"Woningen";"De Bilt";"2021 ";"    2928";"   11304";"";"       ."
"Woningen";"De Bilt";"2022";"    4076";"   16235";"   15153";"       ."
"Woningen";"Bladel";"2019";"    1190";"    5149";"";"       ."
"Woningen";"Bladel";"2020";"    1667";"    7658";"";"       ."
"Woningen";"Bladel";"2021 ";"    2330";"   10706";"";"       ."
"Woningen";"Bladel";"2022";"    2992";"   14543";"   13629";"       ."
"Woningen";"Blaricum";"2019";"     423";"    1533";"";"       ."
"Woningen";"Blaricum";"2020";"     662";"    2346";"";"       ."
"Woningen";"Blaricum";"2021 ";"     887";"    3474";"";"       ."
"Woningen";"Blaricum";"2022";"    1209";"    4985";"    4649";"       ."
"Woningen";"Bloemendaal";"2019";"     794";"    2501";"";"       ."
"Woningen";"Bloemendaal";"2020";"    1047";"    3518";"";"       ."
"Woningen";"Bloemendaal";"2021 ";"    1447";"    5105";"";"       ."
"Woningen";"Bloemendaal";"2022";"    1887";"    7231";"    6774";"       ."
"Woningen";"Bodegraven-Reeuwijk";"2019";"    2110";"    7069";"";"       ."
"Woningen";"Bodegraven-Reeuwijk";"2020";"    2823";"   10182";"";"       ."
"Woningen";"Bodegraven-Reeuwijk";"2021 ";"    3715";"   13426";"";"       ."
"Woningen";"Bodegraven-Reeuwijk";"2022";"    5504";"   20457";"   19066";"       ."
"Woningen";"Boekel";"2019";"     658";"    3326";"";"       ."
"Woningen";"Boekel";"2020";"     937";"    5042";"";"       ."
"Woningen";"Boekel";"2021 ";"    1319";"    6707";"";"       ."
"Woningen";"Boekel";"2022";"    1674";"    8933";"    8469";"       ."
"Woningen";"Borger-Odoorn";"2019";"    2552";"   10271";"";"       ."
"Woningen";"Borger-Odoorn";"2020";"    3110";"   12802";"";"       ."
"Woningen";"Borger-Odoorn";"2021 ";"    3746";"   15542";"";"       ."
"Woningen";"Borger-Odoorn";"2022";"    4714";"   20236";"   19462";"       ."
"Woningen";"Borne";"2019";"    1555";"    5827";"";"       ."
"Woningen";"Borne";"2020";"    2271";"    8576";"";"       ."
"Woningen";"Borne";"2021 ";"    2913";"   11559";"";"       ."
"Woningen";"Borne";"2022";"    3780";"   15931";"   15211";"       ."
"Woningen";"Borsele";"2019";"    2777";"    8180";"";"       ."
"Woningen";"Borsele";"2020";"    3119";"    9867";"";"       ."
"Woningen";"Borsele";"2021 ";"    3552";"   11886";"";"       ."
"Woningen";"Borsele";"2022";"    5069";"   17833";"   17172";"       ."
"Woningen";"Boxmeer";"2019";"    2043";"    9150";"";"       ."
"Woningen";"Boxmeer";"2020";"    2786";"   13016";"";"       ."
"Woningen";"Boxmeer";"2021 ";"    3558";"   16567";"";"       ."
"Woningen";"Boxmeer";"2022";"";"";"";""
"Woningen";"Boxtel";"2019";"    2225";"    8642";"";"       ."
"Woningen";"Boxtel";"2020";"    2964";"   11884";"";"       ."
"Woningen";"Boxtel";"2021 ";"    3765";"   15424";"";"       ."
"Woningen";"Boxtel";"2022";"    4711";"   19690";"   18833";"       ."
"Woningen";"Breda";"2019";"    5830";"   20608";"";"       ."
"Woningen";"Breda";"2020";"    7906";"   29732";"";"       ."
"Woningen";"Breda";"2021 ";"   11046";"   41995";"";"       ."
"Woningen";"Breda";"2022";"   14685";"   58739";"   55317";"       ."
"Woningen";"Brielle";"2019";"     876";"    2702";"";"       ."
"Woningen";"Brielle";"2020";"    1126";"    3698";"";"       ."
"Woningen";"Brielle";"2021 ";"    1501";"    5543";"";"       ."
"Woningen";"Brielle";"2022";"    2190";"    8492";"    7998";"       ."
"Woningen";"Bronckhorst";"2019";"    2714";"   10783";"";"       ."
"Woningen";"Bronckhorst";"2020";"    3486";"   14585";"";"       ."
"Woningen";"Bronckhorst";"2021 ";"    4331";"   19051";"";"       ."
"Woningen";"Bronckhorst";"2022";"    5403";"   24956";"   23843";"       ."
"Woningen";"Brummen";"2019";"    1390";"    5366";"";"       ."
"Woningen";"Brummen";"2020";"    2187";"    8115";"";"       ."
"Woningen";"Brummen";"2021 ";"    3197";"   11652";"";"       ."
"Woningen";"Brummen";"2022";"    3927";"   14928";"   14132";"       ."
"Woningen";"Brunssum";"2019";"    1955";"    6949";"";"       ."
"Woningen";"Brunssum";"2020";"    2323";"    8575";"";"       ."
"Woningen";"Brunssum";"2021 ";"    2896";"   10871";"";"       ."
"Woningen";"Brunssum";"2022";"    3487";"   13505";"   12942";"       ."
"Woningen";"Bunnik";"2019";"    1178";"    4055";"";"       ."
"Woningen";"Bunnik";"2020";"    1616";"    5820";"";"       ."
"Woningen";"Bunnik";"2021 ";"    2077";"    7507";"";"       ."
"Woningen";"Bunnik";"2022";"    2753";"   10129";"    9572";"       ."
"Woningen";"Bunschoten";"2019";"     980";"    3435";"";"       ."
"Woningen";"Bunschoten";"2020";"    1310";"    4912";"";"       ."
