"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"Onderwerp"
"";"";"Installaties";"Opgesteld vermogen van zonnepanelen";"Opgesteld vermogen omvormers";"Productie van zonnestroom"
"Perioden";"Regio's";"aantal";"kWp";"kW";"mln kWh"
"2019";"Harlingen";"2569";"13042";"";"."
"2019";"Hattem";"789";"3364";"";"."
"2019";"Heemskerk";"2668";"10490";"";"."
"2019";"Heemstede";"1134";"5017";"";"."
"2019";"Heerde";"1269";"5783";"";"."
"2019";"Heerenveen";"4425";"31721";"";"."
"2019";"Heerhugowaard";"5789";"33250";"";"."
"2019";"Heerlen";"5246";"28497";"";"."
"2019";"Heeze-Leende";"1317";"9016";"";"."
"2019";"Heiloo";"2255";"8353";"";"."
"2019";"Den Helder";"3534";"15871";"";"."
"2019";"Hellendoorn";"2446";"16295";"";"."
"2019";"Hellevoetsluis";"1801";"7171";"";"."
"2019";"Helmond";"5081";"25929";"";"."
"2019";"Hendrik-Ido-Ambacht";"1492";"4941";"";"."
"2019";"Hengelo (O.)";"3747";"23611";"";"."
"2019";"'s-Hertogenbosch";"6885";"48283";"";"."
"2019";"Heumen";"1545";"7429";"";"."
"2019";"Heusden";"2917";"18429";"";"."
"2019";"Hillegom";"1500";"8856";"";"."
"2019";"Hilvarenbeek";"1111";"10573";"";"."
"2019";"Hilversum";"3410";"12945";"";"."
"2019";"Hoeksche Waard";"5747";"31688";"";"."
"2019";"Hof van Twente";"2992";"23296";"";"."
"2019";"Het Hogeland";"6590";"42472";"";"."
"2019";"Hollands Kroon";"4331";"65142";"";"."
"2019";"Hoogeveen";"6011";"25696";"";"."
"2019";"Hoorn";"4781";"18456";"";"."
"2019";"Horst aan de Maas";"4391";"38303";"";"."
"2019";"Houten";"3594";"17896";"";"."
"2019";"Huizen";"3291";"10445";"";"."
"2019";"Hulst";"3592";"13458";"";"."
"2019";"IJsselstein";"1622";"8025";"";"."
"2019";"Kaag en Braassem";"2370";"11619";"";"."
"2019";"Kampen";"4139";"31781";"";"."
"2019";"Kapelle";"1576";"9906";"";"."
"2019";"Katwijk";"2880";"15611";"";"."
"2019";"Kerkrade";"4628";"16424";"";"."
"2019";"Koggenland";"1967";"12201";"";"."
"2019";"Krimpen aan den IJssel";"1025";"4311";"";"."
"2019";"Krimpenerwaard";"2678";"14655";"";"."
"2019";"Laarbeek";"1718";"11164";"";"."
"2019";"Land van Cuijk";"";"";"";""
"2019";"Landerd";"1382";"9416";"";"."
"2019";"Landgraaf";"3863";"18050";"";"."
"2019";"Landsmeer";"785";"3710";"";"."
"2019";"Langedijk";"2924";"16367";"";"."
"2019";"Lansingerland";"4754";"32157";"";"."
"2019";"Laren (NH.)";"218";"1141";"";"."
"2019";"Leeuwarden";"10400";"61126";"";"."
"2019";"Leiden";"3689";"13314";"";"."
"2019";"Leiderdorp";"1157";"5002";"";"."
"2019";"Leidschendam-Voorburg";"2285";"8293";"";"."
"2019";"Lelystad";"6710";"65912";"";"."
"2019";"Leudal";"3448";"29104";"";"."
"2019";"Leusden";"2430";"17057";"";"."
"2019";"Lingewaard";"3465";"32845";"";"."
"2019";"Lisse";"1959";"6121";"";"."
"2019";"Lochem";"3032";"16127";"";"."
"2019";"Loon op Zand";"1246";"6635";"";"."
"2019";"Lopik";"937";"7156";"";"."
"2019";"Loppersum";"1709";"9220";"";"."
"2019";"Losser";"1822";"10552";"";"."
"2019";"Maasdriel";"2454";"15707";"";"."
"2019";"Maasgouw";"2554";"11883";"";"."
"2019";"Maashorst";"";"";"";""
"2019";"Maassluis";"1029";"3935";"";"."
"2019";"Maastricht";"5406";"27791";"";"."
