Gemeentenummer 2021;Gemeentenaam 2021;Gebruiksfunctie;Geen plat dak (m2);Wel plat dak (m2);Onbekend (m2);Dakoppervlak totaal (m2)
;;kantoorfunctie;882;15270;0;16152
;;logiesfunctie;0;350;0;350
;;onderwijsfunctie;1458;0;0;1458
;;overige gebruiksfunctie;11656;95683;19;107358
;;sportfunctie;3079;7835;0;10915
;;winkelfunctie;5429;10218;152;15799
;;woonfunctie;288613;70523;2040;361175
222;Doetinchem;onbekend;440147;379537;9408;829092
;;bijeenkomstfunctie;15752;59057;0;74809
;;gezondheidszorgfunctie;8900;44325;0;53225
;;industriefunctie;63156;611407;1295;675858
;;kantoorfunctie;25521;173941;0;199461
;;logiesfunctie;784;4329;0;5113
;;onderwijsfunctie;4239;108668;0;112907
;;overige gebruiksfunctie;32246;51207;235;83688
;;sportfunctie;2748;55186;0;57933
;;standplaats;204;79;0;283
;;winkelfunctie;34331;291496;0;325828
;;woonfunctie;1513853;462715;19528;1996096
225;Druten;onbekend;190785;187335;9559;387680
;;bijeenkomstfunctie;7246;3416;40;10702
;;gezondheidszorgfunctie;2246;4426;0;6672
;;industriefunctie;16246;182110;1465;199821
;;kantoorfunctie;3092;35435;69;38596
;;logiesfunctie;478;4144;0;4622
;;onderwijsfunctie;1805;19609;265;21678
;;overige gebruiksfunctie;3048;10559;699;14306
;;sportfunctie;161;23433;0;23594
;;winkelfunctie;5154;43778;0;48932
;;woonfunctie;563034;161261;20333;744628
226;Duiven;onbekend;256827;217497;4732;479056
;;bijeenkomstfunctie;5715;13657;20;19392
;;gezondheidszorgfunctie;589;7317;0;7906
;;industriefunctie;10966;394318;700;405984
;;kantoorfunctie;2928;99290;153;102370
;;logiesfunctie;261;0;0;261
;;onderwijsfunctie;3440;22640;0;26079
;;overige gebruiksfunctie;2447;31313;4;33764
;;sportfunctie;358;13541;0;13900
;;winkelfunctie;1211;177787;0;178998
;;woonfunctie;727782;146372;6389;880543
228;Ede;onbekend;1967871;1218844;36302;3223017
;;bijeenkomstfunctie;57494;112369;0;169864
;;gezondheidszorgfunctie;7849;50356;0;58206
;;industriefunctie;94986;729294;4381;828661
;;kantoorfunctie;50479;561797;18707;630983
;;logiesfunctie;35250;16739;1674;53663
;;onderwijsfunctie;13296;128166;0;141461
;;overige gebruiksfunctie;19642;79706;222;99570
;;sportfunctie;2342;53837;0;56180
;;winkelfunctie;29573;170344;18;199935
;;woonfunctie;2730255;866976;38907;3636138
230;Elburg;onbekend;270224;174573;2340;447137
;;bijeenkomstfunctie;13843;19655;0;33498
;;gezondheidszorgfunctie;412;11788;49;12249
;;industriefunctie;11427;158615;1799;171841
;;kantoorfunctie;5945;45582;645;52173
;;logiesfunctie;14794;17869;121;32784
;;onderwijsfunctie;2103;19526;0;21629
;;overige gebruiksfunctie;7624;22540;190;30353
;;sportfunctie;1778;28161;0;29939
;;winkelfunctie;9347;69892;57;79297
;;woonfunctie;666968;95897;9990;772855
232;Epe;onbekend;619715;444362;6132;1070209
;;bijeenkomstfunctie;9321;34986;0;44307
;;gezondheidszorgfunctie;1869;5228;0;7097
;;industriefunctie;10082;309737;1397;321216
;;kantoorfunctie;8315;31171;0;39486
;;logiesfunctie;33106;22856;99;56061
;;onderwijsfunctie;5631;28746;0;34377
;;overige gebruiksfunctie;3208;15813;31;19052
;;sportfunctie;138;18774;0;18911
;;winkelfunctie;10991;54565;0;65556
;;woonfunctie;1050102;238363;8997;1297462
233;Ermelo;onbekend;393741;375174;10217;779131
;;bijeenkomstfunctie;5701;4803;0;10504
;;gezondheidszorgfunctie;7219;22135;0;29354
;;industriefunctie;12412;78296;227;90935
;;kantoorfunctie;4616;41579;0;46195
;;logiesfunctie;119931;118201;1075;239207
;;onderwijsfunctie;1936;12850;0;14786
;;overige gebruiksfunctie;10156;46491;57;56703
;;sportfunctie;1661;8725;0;10385
;;winkelfunctie;6417;30997;0;37414
;;woonfunctie;725468;285121;6260;1016849
243;Harderwijk;onbekend;207371;281297;3651;492319
;;bijeenkomstfunctie;11304;24557;66;35927
;;gezondheidszorgfunctie;752;29015;0;29767
;;industriefunctie;13913;289465;0;303379
;;kantoorfunctie;11194;273011;60;284265
;;logiesfunctie;40408;22769;884;64061
;;onderwijsfunctie;3471;63828;0;67300
;;overige gebruiksfunctie;9843;82047;303;92194
;;sportfunctie;2830;21934;0;24764
;;winkelfunctie;14225;116739;0;130963
;;woonfunctie;1035044;292484;16974;1344503
244;Hattem;onbekend;88110;77748;2175;168032
;;bijeenkomstfunctie;4563;15401;0;19963
;;gezondheidszorgfunctie;1076;847;0;1923
;;industriefunctie;781;7306;0;8087
;;kantoorfunctie;643;751;596;1989
;;logiesfunctie;2265;719;0;2984
;;overige gebruiksfunctie;19657;60561;14;80232
;;sportfunctie;500;7563;0;8063
;;winkelfunctie;7501;26903;69;34473
;;woonfunctie;373439;85343;3558;462340
246;Heerde;onbekend;291549;257712;3970;553232
;;bijeenkomstfunctie;6999;11917;0;18916
;;gezondheidszorgfunctie;0;11627;0;11627
;;industriefunctie;29621;126103;0;155724
;;kantoorfunctie;4012;18223;0;22235
;;logiesfunctie;601;4453;231;5285
;;onderwijsfunctie;2618;13820;0;16438
;;overige gebruiksfunctie;7589;27263;5;34856
;;sportfunctie;2489;16272;0;18761
;;standplaats;126;116;0;242
;;winkelfunctie;4056;36757;0;40812
;;woonfunctie;614930;130834;5549;751312
252;Heumen;onbekend;176576;190859;1069;368505
;;bijeenkomstfunctie;5550;11278;314;17143
;;gezondheidszorgfunctie;1135;3750;0;4884
;;industriefunctie;19831;99815;125;119772
;;kantoorfunctie;3922;17346;132;21400
;;logiesfunctie;3041;4680;35;7756
;;onderwijsfunctie;150;8111;0;8261
;;overige gebruiksfunctie;1723;8234;7;9964
;;sportfunctie;2868;16228;0;19095
;;winkelfunctie;1356;27588;0;28944
;;woonfunctie;535547;144377;4024;683947
262;Lochem;onbekend;941700;567918;10627;1520245
;;bijeenkomstfunctie;12807;18994;0;31802
;;gezondheidszorgfunctie;7824;21808;0;29632
;;industriefunctie;15286;185558;177;201022
;;kantoorfunctie;9057;30246;0;39303
;;logiesfunctie;50016;42668;350;93033
;;onderwijsfunctie;3075;22983;0;26059
;;overige gebruiksfunctie;12072;31036;122;43230
;;sportfunctie;4291;29008;0;33299
;;standplaats;123;336;0;459
;;winkelfunctie;24739;69115;566;94420
;;woonfunctie;1435451;287452;5790;1728694
263;Maasdriel;onbekend;564688;673092;24113;1261893
;;bijeenkomstfunctie;16674;19023;0;35697
;;gezondheidszorgfunctie;1822;3323;0;5146
;;industriefunctie;112958;444151;6898;564007
;;kantoorfunctie;9261;38000;1136;48398
;;logiesfunctie;4312;24360;100;28771
;;onderwijsfunctie;578;19134;0;19712
;;overige gebruiksfunctie;1606;7382;27;9015
;;sportfunctie;0;12947;0;12947
;;winkelfunctie;4178;19173;0;23352
;;woonfunctie;945603;304081;22764;1272448
267;Nijkerk;onbekend;480264;353460;7913;841637
;;bijeenkomstfunctie;9694;34795;0;44489
;;gezondheidszorgfunctie;1645;8643;0;10287
;;industriefunctie;20397;527443;1171;549011
;;kantoorfunctie;6007;179212;50;185269
;;logiesfunctie;4663;18618;509;23790
;;onderwijsfunctie;3272;54466;0;57739
;;overige gebruiksfunctie;9496;28533;45;38074
;;sportfunctie;1734;19126;0;20861
;;winkelfunctie;14175;181001;102;195278
;;woonfunctie;1069311;283489;9736;1362537
268;Nijmegen;onbekend;189055;558163;18586;765804
;;bijeenkomstfunctie;35010;142919;656;178585
;;gezondheidszorgfunctie;10694;148892;92;159677
;;industriefunctie;59916;967348;199;1027462
;;kantoorfunctie;35391;423675;1547;460614
;;logiesfunctie;3212;6495;99;9806
;;onderwijsfunctie;13360;298881;1489;313730
;;overige gebruiksfunctie;27339;206003;4725;238067
;;sportfunctie;12419;129704;3757;145879
;;winkelfunctie;22461;188213;7162;217836
;;woonfunctie;2193516;1750634;126462;4070612
269;Oldebroek;onbekend;517319;282958;6253;806530
;;bijeenkomstfunctie;11493;25738;0;37230
;;gezondheidszorgfunctie;1961;1317;0;3278
;;industriefunctie;40929;111275;0;152204
;;kantoorfunctie;2158;16971;0;19129
;;logiesfunctie;28217;3200;0;31417
;;onderwijsfunctie;1127;13931;0;15058
;;overige gebruiksfunctie;4873;7499;5;12377
;;sportfunctie;666;10473;625;11764
;;standplaats;65;0;0;65
;;winkelfunctie;11666;56238;0;67904
;;woonfunctie;764338;111526;6450;882315
273;Putten;onbekend;588018;408739;7704;1004462
;;bijeenkomstfunctie;11174;9493;0;20667
;;gezondheidszorgfunctie;1945;3042;0;4986
;;industriefunctie;15842;146348;0;162190
;;kantoorfunctie;4886;28390;200;33476
;;logiesfunctie;28876;37219;668;66762
;;onderwijsfunctie;5557;14782;0;20339
;;overige gebruiksfunctie;4428;11117;51;15597
;;sportfunctie;525;12965;0;13490
;;standplaats;113;0;0;113
;;winkelfunctie;8950;58236;0;67186
;;woonfunctie;784785;130293;4859;919937
274;Renkum;onbekend;113126;154808;1113;269046
;;bijeenkomstfunctie;16410;21583;280;38273
;;gezondheidszorgfunctie;3166;16730;0;19896
;;industriefunctie;3917;141910;0;145827
;;kantoorfunctie;7775;34127;0;41902
;;logiesfunctie;279;13747;0;14025
;;onderwijsfunctie;3576;22819;0;26395
;;overige gebruiksfunctie;8080;15743;292;24115
;;sportfunctie;2324;7302;0;9626
;;winkelfunctie;7263;33202;0;40466
;;woonfunctie;765960;312920;4500;1083380
275;Rheden;onbekend;197377;289836;2560;489773
;;bijeenkomstfunctie;7085;7845;0;14930
;;gezondheidszorgfunctie;2826;11694;0;14521
;;industriefunctie;2131;115161;320;117611
;;kantoorfunctie;5394;65509;0;70903
;;logiesfunctie;2069;5903;0;7972
;;onderwijsfunctie;3862;37025;0;40886
;;overige gebruiksfunctie;30242;122048;192;152482
;;sportfunctie;1612;26170;0;27782
;;winkelfunctie;12396;51956;84;64436
;;woonfunctie;1115737;317443;5757;1438937
277;Rozendaal;onbekend;7368;3757;207;11332
;;bijeenkomstfunctie;918;0;0;918
;;gezondheidszorgfunctie;0;2245;0;2245
;;kantoorfunctie;538;0;0;538
;;onderwijsfunctie;0;5763;0;5763
;;overige gebruiksfunctie;1419;268;0;1687
;;sportfunctie;446;1951;0;2398
;;winkelfunctie;223;0;0;223
;;woonfunctie;66110;13822;535;80467
279;Scherpenzeel;onbekend;95826;158190;4870;258886
;;bijeenkomstfunctie;3513;7128;0;10641
;;gezondheidszorgfunctie;1587;1507;0;3094
;;industriefunctie;18770;72447;0;91217
;;kantoorfunctie;4526;34630;0;39157
;;logiesfunctie;7942;759;0;8701
;;onderwijsfunctie;11;7881;0;7892
;;overige gebruiksfunctie;1465;9120;23;10609
;;sportfunctie;65;6507;0;6572
;;winkelfunctie;2198;16970;0;19168
;;woonfunctie;269446;49090;1447;319982
281;Tiel;onbekend;124486;268087;3338;395911
;;bijeenkomstfunctie;13334;44708;336;58378
;;gezondheidszorgfunctie;5845;29530;75;35450
;;industriefunctie;28244;526838;23002;578083
;;kantoorfunctie;7919;462775;0;470693
;;logiesfunctie;252;1419;0;1671
;;onderwijsfunctie;3323;52288;0;55611
;;overige gebruiksfunctie;3466;42988;1070;47524
;;sportfunctie;819;27379;0;28199
;;standplaats;118;0;0;118
;;winkelfunctie;20138;198604;141;218883
;;woonfunctie;864575;302034;17465;1184073
285;Voorst;onbekend;736802;533194;13241;1283237
;;bijeenkomstfunctie;10515;18897;0;29413
;;gezondheidszorgfunctie;4301;10397;48;14746
;;industriefunctie;38876;177590;0;216467
;;kantoorfunctie;7435;24022;0;31456
;;logiesfunctie;2242;53;0;2295
;;onderwijsfunctie;2489;22721;0;25210
;;overige gebruiksfunctie;67320;88057;904;156280
;;sportfunctie;2623;13665;0;16288
;;winkelfunctie;14770;53573;103;68446
;;woonfunctie;880295;201541;9415;1091251
289;Wageningen;onbekend;139680;138686;32422;310788
;;bijeenkomstfunctie;11686;21793;133;33611
;;gezondheidszorgfunctie;463;4588;0;5052
;;industriefunctie;12270;30390;1607;44267
;;kantoorfunctie;9359;71358;392;81109
;;logiesfunctie;175;4688;0;4863
;;onderwijsfunctie;3403;84539;829;88771
;;overige gebruiksfunctie;9936;87632;135;97703
;;sportfunctie;1298;33616;0;34914
;;winkelfunctie;13268;44651;0;57919
;;woonfunctie;576063;337615;13549;927228
293;Westervoort;onbekend;23913;54417;1232;79563
;;bijeenkomstfunctie;3691;10074;0;13765
;;gezondheidszorgfunctie;1145;5395;0;6540
;;industriefunctie;338;42211;0;42549
;;kantoorfunctie;748;7048;0;7796
;;onderwijsfunctie;0;9099;0;9099
;;overige gebruiksfunctie;663;6442;25;7131
;;sportfunctie;220;5572;0;5791
;;winkelfunctie;1835;5511;0;7346
;;woonfunctie;393814;63776;4984;462574
294;Winterswijk;onbekend;655215;375699;5296;1036209
;;bijeenkomstfunctie;11352;16940;0;28293
;;celfunctie;201;0;0;201
;;gezondheidszorgfunctie;928;31668;0;32596
;;industriefunctie;21993;286644;0;308637
;;kantoorfunctie;4613;22426;0;27039
;;logiesfunctie;18689;7224;251;26164
;;onderwijsfunctie;4392;21574;0;25966
;;overige gebruiksfunctie;9125;29640;32;38798
;;sportfunctie;3305;30894;0;34199
;;standplaats;168;0;0;168
;;winkelfunctie;10972;148687;49;159708
;;woonfunctie;1014820;275242;5316;1295379
296;Wijchen;onbekend;331632;336884;11538;680053
;;bijeenkomstfunctie;15298;26091;0;41389
;;gezondheidszorgfunctie;934;3330;329;4592
;;industriefunctie;41265;360224;1733;403222
;;kantoorfunctie;8990;411829;33156;453975
;;logiesfunctie;1368;9078;177;10623
;;onderwijsfunctie;5839;31790;0;37629
;;overige gebruiksfunctie;5804;28847;27;34678
;;sportfunctie;1398;30991;0;32389
;;standplaats;83;44;0;127
;;winkelfunctie;15941;103129;230;119300
;;woonfunctie;1166507;300855;17403;1484765
297;Zaltbommel;onbekend;1426262;857618;16421;2300301
;;bijeenkomstfunctie;13941;18327;0;32268
;;gezondheidszorgfunctie;778;516;0;1294
;;industriefunctie;444232;665642;67882;1177756
;;kantoorfunctie;115156;188541;7231;310928
;;logiesfunctie;273;365;613;1250
;;onderwijsfunctie;1348;24560;0;25909
;;overige gebruiksfunctie;410591;219236;2120;631947
;;sportfunctie;292;7474;1479;9245
;;winkelfunctie;9933;42254;0;52186
;;woonfunctie;1263536;433761;38924;1736221
299;Zevenaar;onbekend;320298;561551;25050;906899
;;bijeenkomstfunctie;20532;26679;0;47211
;;gezondheidszorgfunctie;2548;25920;72;28540
;;industriefunctie;13173;422046;3012;438232
;;kantoorfunctie;5676;114825;465;120966
;;logiesfunctie;5458;5831;0;11289
;;onderwijsfunctie;2771;28611;0;31383
;;overige gebruiksfunctie;6512;29278;68;35857
;;sportfunctie;3145;35825;0;38970
;;winkelfunctie;8347;97007;480;105834
;;woonfunctie;1263177;368032;14904;1646113
301;Zutphen;onbekend;204324;390778;3176;598277
;;bijeenkomstfunctie;16777;29447;0;46224
;;gezondheidszorgfunctie;1838;36324;0;38162
;;industriefunctie;10088;348740;1209;360038
;;kantoorfunctie;10650;63869;136;74656
;;logiesfunctie;16374;5030;0;21404
;;onderwijsfunctie;7100;57224;0;64324
;;overige gebruiksfunctie;7120;42965;276;50361
;;sportfunctie;1143;23818;0;24961
;;winkelfunctie;19969;132943;399;153311
;;woonfunctie;1016290;344574;18178;1379042
302;Nunspeet;onbekend;389565;236826;8135;634526
;;bijeenkomstfunctie;14055;38024;90;52169
;;gezondheidszorgfunctie;5284;17253;0;22537
;;industriefunctie;33096;157120;0;190217
;;kantoorfunctie;6185;35091;2375;43650
;;logiesfunctie;42502;47763;1044;91309
;;onderwijsfunctie;4647;37923;0;42570
;;overige gebruiksfunctie;5921;12033;67;18020
;;sportfunctie;493;12612;0;13105
;;standplaats;730;1387;0;2116
;;winkelfunctie;20050;61157;0;81207
;;woonfunctie;801405;131664;8358;941428
303;Dronten;onbekend;887807;617025;8471;1513302
;;bijeenkomstfunctie;3624;43670;45;47339
;;gezondheidszorgfunctie;884;3851;0;4735
;;industriefunctie;89036;475783;62970;627789
;;kantoorfunctie;4604;69906;571;75081
;;logiesfunctie;8537;13754;5810;28101
;;onderwijsfunctie;468;49168;0;49636
;;overige gebruiksfunctie;7302;30174;598;38074
;;sportfunctie;534;40386;0;40920
;;winkelfunctie;2968;103429;0;106396
;;woonfunctie;1184655;273197;33189;1491041
307;Amersfoort;onbekend;258713;447177;9258;715148
;;bijeenkomstfunctie;40585;132634;0;173218
;;gezondheidszorgfunctie;4986;33056;536;38578
;;industriefunctie;20873;511125;1205;533203
;;kantoorfunctie;51838;476000;728;528566
;;logiesfunctie;330;8117;0;8447
;;onderwijsfunctie;20682;182568;0;203250
;;overige gebruiksfunctie;39514;210945;575;251034
;;sportfunctie;2034;70343;0;72377
;;winkelfunctie;45556;483060;559;529175
;;woonfunctie;2367932;1402701;24491;3795124
308;Baarn;onbekend;94458;94350;1144;189952
;;bijeenkomstfunctie;18756;18748;0;37504
;;gezondheidszorgfunctie;1981;14631;0;16612
;;industriefunctie;9242;66169;0;75411
;;kantoorfunctie;14576;44833;0;59409
;;logiesfunctie;3457;2955;0;6412
;;onderwijsfunctie;3371;13542;0;16913
;;overige gebruiksfunctie;6384;18541;125;25051
;;sportfunctie;403;15425;0;15828
;;winkelfunctie;6900;49238;0;56138
;;woonfunctie;607101;158043;4217;769361
310;De Bilt;onbekend;334937;204702;4145;543784
;;bijeenkomstfunctie;13336;20536;0;33872
;;gezondheidszorgfunctie;11968;20356;44;32367
;;industriefunctie;33566;99596;1118;134280
;;kantoorfunctie;19206;70733;0;89940
;;logiesfunctie;5293;3806;328;9427
;;onderwijsfunctie;5710;21628;0;27339
;;overige gebruiksfunctie;20830;53753;91;74675
;;sportfunctie;3987;23777;0;27764
;;winkelfunctie;9510;51605;533;61648
;;woonfunctie;1134111;319454;12750;1466315
312;Bunnik;onbekend;161021;206581;3556;371158
;;bijeenkomstfunctie;20541;14637;0;35178
;;gezondheidszorgfunctie;1483;4383;0;5865
;;industriefunctie;11411;71254;1224;83889
;;kantoorfunctie;7470;55336;219;63025
;;logiesfunctie;1812;5755;180;7747
;;onderwijsfunctie;3176;4414;0;7591
;;overige gebruiksfunctie;3721;4811;2;8534
;;sportfunctie;150;5244;0;5394
;;winkelfunctie;5844;15266;0;21111
;;woonfunctie;426880;105535;10367;542781
313;Bunschoten;onbekend;113277;130325;1260;244862
;;bijeenkomstfunctie;9227;14954;0;24181
;;gezondheidszorgfunctie;1962;2819;0;4781
;;industriefunctie;9108;207425;7;216540
;;kantoorfunctie;3246;202900;0;206146
;;logiesfunctie;100;429;0;529
;;onderwijsfunctie;1776;52500;0;54276
;;overige gebruiksfunctie;3454;16548;0;20002
;;sportfunctie;1000;21097;0;22097
;;winkelfunctie;10177;41604;0;51780
;;woonfunctie;521967;75639;5654;603260
317;Eemnes;onbekend;77270;77099;916;155284
;;bijeenkomstfunctie;1276;2335;0;3611
;;gezondheidszorgfunctie;1236;465;0;1701
;;industriefunctie;6250;30495;0;36745
;;kantoorfunctie;2148;16957;0;19105
;;ligplaats;147;0;0;147
;;logiesfunctie;530;157;0;687
;;onderwijsfunctie;1123;4258;0;5381
;;overige gebruiksfunctie;5174;15004;62;20240
;;sportfunctie;0;3997;0;3997
;;winkelfunctie;1254;6715;0;7968
;;woonfunctie;275270;45525;2103;322899
321;Houten;onbekend;290519;205965;11972;508456
;;bijeenkomstfunctie;9182;36086;0;45268
;;gezondheidszorgfunctie;678;7203;0;7881
;;industriefunctie;223775;166994;2472;393241
;;kantoorfunctie;12978;187142;5532;205653
;;logiesfunctie;5432;11383;0;16815
;;onderwijsfunctie;2045;36220;0;38265
;;overige gebruiksfunctie;32559;59993;1825;94377
;;sportfunctie;1802;24729;0;26531
;;winkelfunctie;6990;99318;6260;112568
;;woonfunctie;1081756;329650;32829;1444235
327;Leusden;onbekend;218986;228238;3350;450575
;;bijeenkomstfunctie;10944;10853;0;21797
;;gezondheidszorgfunctie;551;14415;0;14966
;;industriefunctie;2393;78299;265;80956
;;kantoorfunctie;3499;56246;217;59962
;;logiesfunctie;428;4509;0;4937
;;onderwijsfunctie;1029;14550;0;15579
;;overige gebruiksfunctie;9931;55488;413;65831
;;sportfunctie;752;43812;0;44564
;;winkelfunctie;2225;38758;0;40984
;;woonfunctie;723232;255810;5061;984103
331;Lopik;onbekend;363490;216624;6782;586897
;;bijeenkomstfunctie;7509;5982;0;13491
;;gezondheidszorgfunctie;0;1051;0;1051
;;industriefunctie;34440;97266;2553;134260
;;kantoorfunctie;4535;103558;726;108819
;;logiesfunctie;3351;5353;2098;10802
;;onderwijsfunctie;1276;7108;0;8384
;;overige gebruiksfunctie;6116;10802;22;16941
;;sportfunctie;839;6393;0;7232
;;winkelfunctie;8826;3057;0;11883
;;woonfunctie;456851;61653;10768;529271
335;Montfoort;onbekend;148830;139019;9444;297292
;;bijeenkomstfunctie;4687;4715;0;9402
;;gezondheidszorgfunctie;1326;102;0;1428
;;industriefunctie;24294;164653;639;189586
;;kantoorfunctie;11398;54711;578;66687
;;logiesfunctie;236;0;0;236
;;onderwijsfunctie;0;13222;595;13817
;;overige gebruiksfunctie;6451;28786;96;35333
;;sportfunctie;525;4412;0;4937
;;standplaats;223;0;0;223
;;winkelfunctie;12962;14534;0;27496
;;woonfunctie;389883;54737;11550;456170
339;Renswoude;onbekend;189644;118668;2861;311173
;;bijeenkomstfunctie;3357;1953;0;5311
;;gezondheidszorgfunctie;204;0;0;204
;;industriefunctie;3200;65744;0;68945
;;kantoorfunctie;914;22216;0;23129
;;onderwijsfunctie;0;2828;0;2828
;;overige gebruiksfunctie;447;10343;2;10792
;;winkelfunctie;514;7086;0;7600
;;woonfunctie;178987;39219;3525;221731
340;Rhenen;onbekend;253974;194750;3690;452413
;;bijeenkomstfunctie;7480;6492;0;13972
;;gezondheidszorgfunctie;121;368;0;489
;;industriefunctie;11535;94247;0;105782
;;kantoorfunctie;1581;6485;308;8374
;;logiesfunctie;1195;0;0;1195
;;onderwijsfunctie;2469;13061;0;15530
;;overige gebruiksfunctie;8337;28784;1112;38234
;;sportfunctie;0;5971;0;5971
;;winkelfunctie;7325;18697;0;26022
;;woonfunctie;525102;121646;18317;665066
342;Soest;onbekend;164691;172952;1984;339627
;;bijeenkomstfunctie;14870;27544;0;42413
;;gezondheidszorgfunctie;2523;5386;0;7908
;;industriefunctie;22501;427720;647;450868
;;kantoorfunctie;13711;125244;295;139250
;;logiesfunctie;16290;9386;25;25701
;;onderwijsfunctie;1273;56833;0;58106
;;overige gebruiksfunctie;6987;68360;180;75527
;;sportfunctie;3704;29724;46;33475
;;winkelfunctie;9935;93527;44;103505
;;woonfunctie;994228;380191;3336;1377756
344;Utrecht (gemeente);onbekend;390755;921434;34140;1346330
;;bijeenkomstfunctie;54787;228627;5496;288911
;;gezondheidszorgfunctie;2267;46677;21;48965
;;industriefunctie;79243;1478544;21136;1578923
;;kantoorfunctie;80729;1008856;10685;1100270
;;logiesfunctie;9611;27352;37;37001
;;onderwijsfunctie;45374;478045;641;524060
;;overige gebruiksfunctie;45112;482203;9766;537081
;;sportfunctie;7097;144975;6;152077
;;winkelfunctie;56143;511412;7803;575358
;;woonfunctie;3538586;3321041;213167;7072794
345;Veenendaal;onbekend;156497;324471;3451;484419
;;bijeenkomstfunctie;12074;56818;0;68892
;;gezondheidszorgfunctie;2102;19068;0;21170
;;industriefunctie;23260;748427;1671;773357
;;kantoorfunctie;10420;229544;351;240316
;;logiesfunctie;0;7108;0;7108
;;onderwijsfunctie;3230;68653;2632;74515
;;overige gebruiksfunctie;4941;31668;40;36648
;;sportfunctie;331;29176;0;29507
;;winkelfunctie;10018;195332;0;205349
;;woonfunctie;1148687;405775;36312;1590774
351;Woudenberg;onbekend;215751;184936;7667;408353
;;bijeenkomstfunctie;1800;9044;0;10844
;;gezondheidszorgfunctie;1213;3237;0;4450
;;industriefunctie;9054;48284;0;57338
;;kantoorfunctie;3562;45184;0;48746
;;logiesfunctie;737;1800;0;2537
;;onderwijsfunctie;0;9745;0;9745
;;overige gebruiksfunctie;3010;18377;47;21435
;;sportfunctie;46;10349;0;10395
;;winkelfunctie;3610;19364;0;22974
;;woonfunctie;355831;79377;6820;442028
352;Wijk bij Duurstede;onbekend;182083;148335;4697;335115
;;bijeenkomstfunctie;1430;660;0;2090
;;gezondheidszorgfunctie;715;0;0;715
;;industriefunctie;13184;48532;293;62010
;;kantoorfunctie;11972;91795;3474;107241
;;logiesfunctie;2946;4669;52;7667
;;onderwijsfunctie;941;11615;0;12555
;;overige gebruiksfunctie;9398;22253;22;31672
;;sportfunctie;1929;18621;0;20550
;;winkelfunctie;11649;16914;0;28563
;;woonfunctie;638171;146158;19974;804302
353;IJsselstein;onbekend;91778;104550;2370;198699
;;bijeenkomstfunctie;5552;10067;0;15619
;;gezondheidszorgfunctie;248;2709;0;2958
;;industriefunctie;10744;220392;0;231136
;;kantoorfunctie;4097;57538;833;62468
;;logiesfunctie;219;277;0;497
;;onderwijsfunctie;660;34329;0;34990
;;overige gebruiksfunctie;6160;20687;48;26895
;;sportfunctie;2624;22234;0;24858
;;winkelfunctie;5422;19234;0;24656
;;woonfunctie;519477;376708;8868;905054
355;Zeist;onbekend;185935;215865;5228;407028
;;bijeenkomstfunctie;17451;47104;0;64555
;;celfunctie;0;10029;0;10029
;;gezondheidszorgfunctie;2038;33224;0;35262
;;industriefunctie;6586;158901;129;165615
;;kantoorfunctie;33013;169514;0;202527
;;logiesfunctie;10969;8088;0;19057
;;onderwijsfunctie;9557;72277;0;81834
;;overige gebruiksfunctie;16269;131106;304;147678
;;sportfunctie;1973;23004;0;24977
;;winkelfunctie;7539;74645;0;82184
;;woonfunctie;1215680;576129;29672;1821482
356;Nieuwegein;onbekend;55406;189211;4846;249463
;;bijeenkomstfunctie;7721;21754;19;29493
;;celfunctie;0;7306;0;7306
;;gezondheidszorgfunctie;287;49053;0;49339
;;industriefunctie;3215;613280;22318;638813
;;kantoorfunctie;9188;290009;39684;338881
;;onderwijsfunctie;2605;95999;0;98605
;;overige gebruiksfunctie;15418;85179;11056;111653
;;sportfunctie;3239;51867;0;55106
;;winkelfunctie;7348;137649;0;144997
;;woonfunctie;1033906;432323;20930;1487158
358;Aalsmeer;onbekend;541416;969169;3022;1513607
;;bijeenkomstfunctie;5840;11274;0;17114
;;gezondheidszorgfunctie;412;4849;0;5261
;;industriefunctie;298133;370540;3304;671978
;;kantoorfunctie;34292;90962;12104;137358
;;logiesfunctie;3544;1459;0;5003
;;onderwijsfunctie;0;15501;0;15501
;;overige gebruiksfunctie;24658;78967;816;104442
;;sportfunctie;0;42400;0;42400
;;winkelfunctie;14159;58722;0;72881
;;woonfunctie;1178261;478024;22496;1678781
361;Alkmaar;onbekend;277228;419894;13364;710486
;;bijeenkomstfunctie;36684;76730;0;113414
;;gezondheidszorgfunctie;6441;60365;0;66805
;;industriefunctie;69917;780972;11607;862496
;;kantoorfunctie;26183;235037;7301;268522
;;logiesfunctie;11205;20952;3688;35845
;;onderwijsfunctie;8141;123723;0;131865
;;overige gebruiksfunctie;19335;140923;1807;162065
;;sportfunctie;3096;77393;0;80489
;;winkelfunctie;48114;248818;490;297422
;;woonfunctie;2074806;853204;40278;2968289
362;Amstelveen;onbekend;440581;382759;3031;826371
;;bijeenkomstfunctie;10571;77658;660;88889
;;gezondheidszorgfunctie;1695;36726;680;39101
;;industriefunctie;238334;298704;7019;544057
;;kantoorfunctie;8690;298313;12363;319366
;;logiesfunctie;815;15384;0;16198
;;onderwijsfunctie;5887;66709;0;72596
;;overige gebruiksfunctie;14454;227232;567;242254
;;sportfunctie;242;42246;1997;44485
