Gemeentenummer 2021;Gemeentenaam 2021;Gebruiksfunctie;Geen plat dak (m2);Wel plat dak (m2);Onbekend (m2);Dakoppervlak totaal (m2)
;;kantoorfunctie;3250;47171;604;51025
;;logiesfunctie;30688;15619;2064;48371
;;onderwijsfunctie;6894;18810;513;26217
;;overige gebruiksfunctie;4869;27872;451;33191
;;sportfunctie;253;4977;0;5230
;;winkelfunctie;8770;69031;0;77801
;;woonfunctie;1198099;261342;9365;1468805
86;Opsterland;onbekend;612178;371058;10464;993700
;;bijeenkomstfunctie;9681;22472;1000;33154
;;gezondheidszorgfunctie;1961;11382;0;13342
;;industriefunctie;27574;266447;955;294976
;;kantoorfunctie;6402;30445;3312;40159
;;logiesfunctie;2855;2378;326;5559
;;onderwijsfunctie;0;38678;1441;40119
;;overige gebruiksfunctie;5445;6889;47;12382
;;sportfunctie;59;31538;1214;32812
;;standplaats;0;0;40;40
;;winkelfunctie;23138;70727;0;93865
;;woonfunctie;1326535;327948;7736;1662219
88;Schiermonnikoog;onbekend;9546;2628;224;12398
;;bijeenkomstfunctie;1850;1503;0;3353
;;industriefunctie;6160;12165;0;18325
;;kantoorfunctie;1163;749;0;1913
;;logiesfunctie;21219;29859;463;51541
;;onderwijsfunctie;646;1234;0;1880
;;overige gebruiksfunctie;2087;2574;22;4684
;;sportfunctie;20;854;0;873
;;winkelfunctie;1422;2375;0;3797
;;woonfunctie;42381;10338;217;52936
90;Smallingerland;onbekend;307754;331359;14504;653617
;;bijeenkomstfunctie;14400;43207;2668;60275
;;gezondheidszorgfunctie;3121;52056;461;55638
;;industriefunctie;35098;540066;24516;599680
;;kantoorfunctie;6293;119318;20754;146366
;;logiesfunctie;719;4055;67;4841
;;onderwijsfunctie;4127;87435;0;91561
;;overige gebruiksfunctie;9534;99156;624;109314
;;sportfunctie;198;35489;618;36306
;;winkelfunctie;18786;256650;4237;279673
;;woonfunctie;1680765;442493;30424;2153682
93;Terschelling;onbekend;56960;18628;689;76276
;;bijeenkomstfunctie;6719;7236;488;14442
;;gezondheidszorgfunctie;67;733;0;799
;;industriefunctie;15087;21675;115;36877
;;kantoorfunctie;2902;5768;0;8669
;;logiesfunctie;66214;24664;716;91593
;;onderwijsfunctie;610;7279;0;7889
;;overige gebruiksfunctie;4004;2596;42;6643
;;sportfunctie;2718;854;0;3573
;;winkelfunctie;7066;12683;0;19749
;;woonfunctie;200877;32523;791;234191
96;Vlieland;onbekend;6790;6090;200;13080
;;bijeenkomstfunctie;2767;1592;800;5159
;;gezondheidszorgfunctie;0;155;0;155
;;industriefunctie;9177;3002;0;12179
;;kantoorfunctie;1316;1710;0;3026
;;logiesfunctie;18077;13974;0;32051
;;onderwijsfunctie;1237;0;0;1237
;;overige gebruiksfunctie;1574;1472;84;3130
;;sportfunctie;12;2290;0;2302
;;winkelfunctie;785;1344;0;2128
;;woonfunctie;37394;11043;653;49091
98;Weststellingwerf;onbekend;693460;339236;7032;1039729
;;bijeenkomstfunctie;12211;13454;0;25664
;;gezondheidszorgfunctie;1984;6342;0;8326
;;industriefunctie;56115;229742;4788;290645
;;kantoorfunctie;3787;64999;326;69112
;;logiesfunctie;6032;8770;250;15052
;;onderwijsfunctie;5614;23787;94;29495
;;overige gebruiksfunctie;6966;22359;36;29361
;;sportfunctie;357;11885;0;12242
;;winkelfunctie;22225;89122;1500;112847
;;woonfunctie;1207468;281031;20119;1508618
106;Assen;onbekend;146869;249169;8379;404416
;;bijeenkomstfunctie;16132;51130;4221;71483
;;celfunctie;0;879;0;879
;;gezondheidszorgfunctie;7991;80296;715;89001
;;industriefunctie;18961;430397;31615;480973
;;kantoorfunctie;17262;163315;23950;204527
;;logiesfunctie;737;11244;8913;20895
;;onderwijsfunctie;6480;107535;1667;115682
;;overige gebruiksfunctie;7593;59927;6967;74487
;;sportfunctie;3878;53757;3073;60708
;;standplaats;0;61;0;61
;;winkelfunctie;18092;200912;0;219004
;;woonfunctie;1596286;632093;39485;2267864
109;Coevorden;onbekend;771898;541812;73539;1387249
;;bijeenkomstfunctie;16478;28036;0;44514
;;gezondheidszorgfunctie;1833;13311;0;15143
;;industriefunctie;78750;380079;51206;510035
;;kantoorfunctie;4977;72752;8529;86258
;;logiesfunctie;3769;868;202;4840
;;onderwijsfunctie;5533;28857;1156;35546
;;overige gebruiksfunctie;7033;60921;361;68315
;;sportfunctie;2103;28845;18;30967
;;winkelfunctie;21985;131236;0;153221
;;woonfunctie;1603195;335151;21052;1959397
114;Emmen;onbekend;1828283;2192278;120054;4140615
;;bijeenkomstfunctie;26185;101895;611;128691
;;gezondheidszorgfunctie;2038;58466;252;60757
;;industriefunctie;267016;1304630;31166;1602812
;;kantoorfunctie;6529;125791;2066;134386
;;logiesfunctie;24774;28867;494;54135
;;onderwijsfunctie;10772;138095;9102;157969
;;overige gebruiksfunctie;7185;56412;419;64015
