"Geslacht";"Leeftijd";"Perioden";"Regio's";"Bevolking (aantal)";"Onderwijsniveau 3 categorieën/1 Laag onderwijsniveau (%)";"Onderwijsniveau 3 categorieën/2 Middelbaar onderwijsniveau (%)";"Onderwijsniveau 3 categorieën/3 Hoog onderwijsniveau (%)"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Bloemendaal";"   16200";"    15.8";"    27.3";"    56.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Boarnsterhim";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Bodegraven-Reeuwijk";"   26100";"    26.0";"    43.9";"    30.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Boekel";"    8300";"    29.5";"    49.7";"    20.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Ten Boer";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Borger-Odoorn";"   19300";"    27.8";"    49.6";"    22.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Borne";"   17400";"    22.0";"    43.1";"    34.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Borsele";"   16900";"    25.6";"    50.2";"    24.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Boskoop";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Boxmeer";"   22600";"    27.0";"    45.6";"    27.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Boxtel";"   24900";"    29.9";"    42.1";"    28.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Breda";"  140800";"    22.7";"    37.9";"    39.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Brielle";"   13300";"    27.2";"    47.2";"    25.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Bronckhorst";"   27200";"    25.9";"    48.7";"    25.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Brummen";"   15600";"    27.8";"    45.8";"    26.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Brunssum";"   20900";"    34.4";"    45.8";"    19.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Bunnik";"   10900";"    18.2";"    33.1";"    48.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Bunschoten";"   16400";"    33.1";"    48.6";"    18.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Buren";"   20800";"    31.6";"    42.8";"    25.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Bussum";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Capelle aan den IJssel";"   50500";"    27.0";"    43.9";"    29.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Castricum";"   26400";"    19.7";"    42.3";"    38.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Coevorden";"   26500";"    29.0";"    49.5";"    21.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Cranendonck";"   15600";"    28.5";"    44.9";"    26.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Cromstrijen";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Cuijk";"   19500";"    30.8";"    43.2";"    26.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Culemborg";"   22100";"    26.4";"    38.5";"    35.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Dalfsen";"   21300";"    25.9";"    47.9";"    26.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Dantumadiel";"   13900";"    32.0";"    50.1";"    17.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Delft";"   84400";"    18.5";"    35.1";"    46.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Delfzijl";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Deurne";"   24400";"    29.2";"    47.4";"    23.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Deventer";"   77200";"    25.5";"    41.6";"    32.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Diemen";"   24800";"    17.0";"    39.4";"    43.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Dijk en Waard";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Dinkelland";"   20000";"    24.1";"    48.1";"    27.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Doesburg";"    8500";"    32.1";"    44.8";"    23.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Doetinchem";"   44400";"    26.9";"    45.9";"    27.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Dongen";"   19900";"    27.2";"    46.7";"    26.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Dongeradeel";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Dordrecht";"   90700";"    29.9";"    42.7";"    27.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Drechterland";"   14900";"    29.6";"    45.4";"    25.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Drimmelen";"   20900";"    28.2";"    46.8";"    25.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Dronten";"   32400";"    26.3";"    48.1";"    25.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Druten";"   14700";"    28.7";"    45.2";"    26.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Duiven";"   19300";"    24.7";"    47.9";"    27.5"
