"Geslacht";"Leeftijd";"Perioden";"Regio's";"Bevolking (aantal)";"Onderwijsniveau 3 categorieën/1 Laag onderwijsniveau (%)";"Onderwijsniveau 3 categorieën/2 Middelbaar onderwijsniveau (%)";"Onderwijsniveau 3 categorieën/3 Hoog onderwijsniveau (%)"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Loppersum";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Losser";"   17200";"    28.3";"    48.4";"    23.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Maasdonk";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Maasdriel";"   19800";"    32.6";"    45.5";"    21.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Maasgouw";"   18400";"    28.4";"    44.2";"    27.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Maashorst";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Maassluis";"   24800";"    32.7";"    43.4";"    23.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Maastricht";"   96700";"    24.7";"    39.9";"    35.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"De Marne";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Marum";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Medemblik";"   34300";"    31.4";"    47.3";"    21.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Meerssen";"   13800";"    25.0";"    41.1";"    33.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Meierijstad";"   62400";"    29.1";"    45.2";"    25.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Menameradiel";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Menterwolde";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Meppel";"   26100";"    25.7";"    45.6";"    28.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Middelburg (Z.)";"   36400";"    24.6";"    45.8";"    29.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Midden-Delfland";"   14500";"    22.8";"    40.6";"    36.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Midden-Drenthe";"   25400";"    23.7";"    50.5";"    25.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Midden-Groningen";"   46000";"    29.8";"    48.7";"    21.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Mill en Sint Hubert";"    8400";"    30.2";"    48.5";"    21.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Millingen aan de Rijn";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Moerdijk";"   28300";"    28.4";"    49.0";"    22.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Molenlanden";"   32800";"    28.4";"    50.2";"    21.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Molenwaard";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Montferland";"   27500";"    31.3";"    47.9";"    20.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Montfoort";"   10300";"    26.7";"    44.3";"    29.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Mook en Middelaar";"    6000";"    19.8";"    38.8";"    41.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Muiden";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Naarden";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Neder-Betuwe";"   18000";"    34.8";"    48.8";"    16.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Nederlek";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Nederweert";"   13100";"    29.5";"    46.4";"    24.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Neerijnen";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Nieuwegein";"   49400";"    27.2";"    42.6";"    30.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Nieuwkoop";"   22100";"    27.3";"    46.3";"    26.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Nijkerk";"   32300";"    27.9";"    44.4";"    27.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Nijmegen";"  142200";"    20.3";"    33.8";"    45.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Nissewaard";"   65400";"    31.6";"    48.9";"    19.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Noardeast-Fryslân";"   33500";"    30.4";"    50.1";"    19.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Noord-Beveland";"    5800";"    24.9";"    48.9";"    26.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Noordenveld";"   22600";"    22.2";"    44.2";"    33.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Noordoostpolder";"   35700";"    27.8";"    49.9";"    22.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Noordwijk";"   33500";"    25.4";"    43.0";"    31.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Noordwijkerhout";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Nuenen, Gerwen en Nederwetten";"   17200";"    20.7";"    37.3";"    42.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Nunspeet";"   20300";"    31.7";"    46.3";"    22.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Nuth";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Oegstgeest";"   18200";"    15.0";"    28.9";"    56.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Oirschot";"   14500";"    27.9";"    46.1";"    25.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Oisterwijk";"   24100";"    24.3";"    41.5";"    34.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Oldambt";"   29000";"    33.8";"    48.8";"    17.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Oldebroek";"   17500";"    36.4";"    46.0";"    17.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Oldenzaal";"   23500";"    26.8";"    43.5";"    29.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Olst-Wijhe";"   13900";"    24.6";"    46.1";"    29.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Ommen";"   13600";"    27.6";"    47.1";"    25.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Onderbanken";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Oost Gelre";"   22300";"    25.3";"    49.8";"    24.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Oosterhout";"   42200";"    29.2";"    42.1";"    28.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Ooststellingwerf";"   19100";"    27.8";"    49.7";"    22.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Oostzaan";"    7200";"    24.6";"    46.1";"    29.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Opmeer";"    9100";"    25.7";"    50.6";"    23.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Opsterland";"   22100";"    27.2";"    46.8";"    26.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Oss";"   71000";"    29.7";"    45.6";"    24.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Oud-Beijerland";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Oude IJsselstreek";"   29700";"    30.2";"    49.1";"    20.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Ouder-Amstel";"   10600";"    18.8";"    35.5";"    45.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Ouderkerk";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Oudewater";"    7500";"    26.2";"    47.6";"    26.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Overbetuwe";"   35900";"    26.0";"    42.8";"    31.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Papendrecht";"   23600";"    26.5";"    50.5";"    23.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Peel en Maas";"   33600";"    27.9";"    46.5";"    25.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Pekela";"    9100";"    35.9";"    51.7";"    12.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Pijnacker-Nootdorp";"   41600";"    23.2";"    39.0";"    37.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Purmerend";"   62000";"    28.2";"    46.5";"    25.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Putten";"   17800";"    32.1";"    44.5";"    23.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Raalte";"   28400";"    24.7";"    49.2";"    26.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Reimerswaal";"   16400";"    33.8";"    51.2";"    15.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Renkum";"   22700";"    21.6";"    34.5";"    43.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Renswoude";"    4100";"    29.8";"    48.2";"    22.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Reusel-De Mierden";"   10000";"    26.5";"    46.5";"    27.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Rheden";"   31600";"    28.2";"    40.3";"    31.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Rhenen";"   14700";"    28.6";"    43.2";"    28.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Ridderkerk";"   34000";"    31.9";"    45.9";"    22.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Rijnwaarden";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Rijnwoude";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Rijssen-Holten";"   27300";"    28.7";"    49.0";"    22.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Rijswijk (ZH.)";"   41200";"    23.4";"    36.4";"    40.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Roerdalen";"   15600";"    27.1";"    47.2";"    25.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Roermond";"   45100";"    30.4";"    41.5";"    28.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"De Ronde Venen";"   33600";"    25.1";"    42.8";"    32.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Roosendaal";"   58400";"    30.4";"    43.3";"    26.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Rotterdam";"  506700";"    30.2";"    37.8";"    32.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Rozendaal";"    1200";"    10.7";"    35.6";"    53.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Rucphen";"   18100";"    37.5";"    45.1";"    17.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Schagen";"   34700";"    27.0";"    46.4";"    26.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Schermer";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Scherpenzeel";"    7400";"    28.8";"    47.8";"    23.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Schiedam";"   60800";"    31.7";"    43.1";"    25.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Schiermonnikoog";"     700";"       .";"       .";"       ."
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Schijndel";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Schinnen";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Schoonhoven";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Schouwen-Duiveland";"   25000";"    28.4";"    47.9";"    23.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Simpelveld";"    7700";"    27.5";"    44.7";"    27.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Sint Anthonis";"    9000";"    23.7";"    50.0";"    26.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Sint-Michielsgestel";"   21800";"    25.6";"    41.7";"    32.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Sint-Oedenrode";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Sittard-Geleen";"   70300";"    30.4";"    41.4";"    28.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Skarsterlân";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Sliedrecht";"   18700";"    33.0";"    46.8";"    20.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Slochteren";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Sluis";"   17200";"    29.5";"    47.4";"    23.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Smallingerland";"   41300";"    28.6";"    46.6";"    24.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Soest";"   34600";"    24.9";"    38.9";"    36.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Someren";"   14900";"    29.1";"    45.6";"    25.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Son en Breugel";"   12600";"    19.7";"    38.4";"    41.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Spijkenisse";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Stadskanaal";"   23400";"    32.6";"    51.2";"    16.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Staphorst";"   12300";"    33.5";"    50.3";"    16.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Stede Broec";"   16300";"    34.4";"    47.0";"    18.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Steenbergen";"   18600";"    31.2";"    47.1";"    21.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Steenwijkerland";"   33200";"    28.2";"    48.1";"    23.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Stein (L.)";"   18700";"    29.1";"    45.2";"    25.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Stichtse Vecht";"   48400";"    24.4";"    39.0";"    36.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Strijen";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Súdwest-Fryslân";"   66600";"    26.9";"    47.9";"    25.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Terneuzen";"   40400";"    32.7";"    45.6";"    21.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Terschelling";"    3900";"    20.1";"    52.1";"    27.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Texel";"   10400";"    26.4";"    49.1";"    24.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Teylingen";"   28400";"    22.2";"    43.0";"    34.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Tholen";"   19200";"    35.5";"    47.6";"    16.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Tiel";"   32500";"    34.5";"    43.7";"    21.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Tilburg";"  175100";"    27.6";"    40.7";"    31.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Tubbergen";"   16200";"    26.6";"    48.3";"    25.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Twenterand";"   25000";"    34.5";"    48.2";"    17.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Tynaarlo";"   24400";"    19.7";"    39.2";"    41.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Tytsjerksteradiel";"   23500";"    26.2";"    47.3";"    26.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Ubbergen";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Uden";"   31800";"    28.9";"    44.3";"    26.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Uitgeest";"   10300";"    18.9";"    49.1";"    32.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Uithoorn";"   22900";"    25.4";"    41.7";"    32.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Urk";"   14600";"    36.1";"    52.0";"    11.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Utrecht (gemeente)";"  284300";"    18.1";"    27.8";"    54.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Utrechtse Heuvelrug";"   35800";"    22.0";"    35.1";"    42.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Vaals";"    7600";"    28.2";"    46.7";"    25.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Valkenburg aan de Geul";"   12100";"    27.3";"    41.4";"    31.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Valkenswaard";"   23100";"    28.0";"    42.7";"    29.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Veendam";"   20600";"    31.1";"    48.6";"    20.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Veenendaal";"   49900";"    27.8";"    45.9";"    26.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Veere";"   15800";"    21.6";"    49.1";"    29.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Veghel";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Veldhoven";"   34200";"    24.0";"    41.8";"    34.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Velsen";"   51700";"    27.6";"    46.3";"    26.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Venlo";"   77800";"    32.9";"    43.1";"    24.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Venray";"   33400";"    28.7";"    46.2";"    25.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Vianen";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Vijfheerenlanden";"   42900";"    32.0";"    45.2";"    22.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Vlaardingen";"   54900";"    32.3";"    44.4";"    23.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Vlagtwedde";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Vlieland";"    1000";"    18.0";"    52.8";"    29.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Vlissingen";"   33400";"    27.1";"    50.8";"    22.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Vlist";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Voerendaal";"    9100";"    23.0";"    42.1";"    34.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Voorschoten";"   18300";"    23.0";"    32.2";"    44.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Voorst";"   18300";"    25.2";"    46.0";"    28.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Vught";"   23100";"    22.6";"    35.0";"    42.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Waadhoeke";"   34700";"    28.8";"    49.3";"    21.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Waalre";"   12500";"    17.2";"    33.2";"    49.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Waalwijk";"   37300";"    31.5";"    45.9";"    22.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Waddinxveen";"   22800";"    27.8";"    44.4";"    27.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Wageningen";"   32100";"    16.0";"    29.3";"    54.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Wassenaar";"   18800";"    19.6";"    34.5";"    46.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Waterland";"   12600";"    21.5";"    38.5";"    40.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Weert";"   37800";"    27.0";"    44.2";"    28.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Weesp";"   15200";"    21.4";"    33.3";"    45.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Werkendam";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"West Betuwe";"   38800";"    30.1";"    45.4";"    24.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"West Maas en Waal";"   15000";"    27.5";"    47.7";"    24.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Westerkwartier";"   47200";"    24.3";"    47.6";"    28.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Westerveld";"   14700";"    27.7";"    45.5";"    26.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Westervoort";"   11600";"    28.3";"    46.3";"    25.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Westerwolde";"   19800";"    31.8";"    50.3";"    17.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Westland";"   83700";"    29.4";"    45.9";"    24.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Weststellingwerf";"   19300";"    29.1";"    49.5";"    21.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Westvoorne";"   11100";"    22.9";"    45.6";"    31.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Wierden";"   18000";"    24.8";"    48.4";"    26.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Wijchen";"   31300";"    26.4";"    43.7";"    29.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Wijdemeren";"   18000";"    24.0";"    42.2";"    33.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Wijk bij Duurstede";"   18200";"    24.0";"    45.9";"    30.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Winsum";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Winterswijk";"   21800";"    29.2";"    47.5";"    23.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Woensdrecht";"   16500";"    30.5";"    43.4";"    26.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Woerden";"   39200";"    24.3";"    41.5";"    34.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"De Wolden";"   18100";"    25.2";"    48.4";"    26.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Wormerland";"   12100";"    24.0";"    50.0";"    26.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Woudenberg";"    9900";"    24.9";"    44.8";"    30.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Woudrichem";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zaanstad";"  118100";"    28.8";"    44.8";"    26.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zaltbommel";"   22100";"    30.7";"    43.7";"    25.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zandvoort";"   12800";"    27.5";"    39.7";"    32.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zederik";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zeevang";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zeewolde";"   18000";"    22.2";"    48.6";"    29.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zeist";"   47700";"    22.9";"    33.7";"    43.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zevenaar";"   33500";"    29.3";"    47.6";"    23.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zoetermeer";"   94500";"    26.2";"    43.7";"    30.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zoeterwoude";"    7000";"    24.4";"    40.2";"    35.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zuidhorn";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zuidplas";"   33700";"    26.1";"    43.4";"    30.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zundert";"   17100";"    30.1";"    46.3";"    23.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zutphen";"   36900";"    27.1";"    41.2";"    31.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zwartewaterland";"   16700";"    34.5";"    47.7";"    17.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zwijndrecht";"   32600";"    31.0";"    47.0";"    22.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zwolle";"   98900";"    22.3";"    38.7";"    39.0"
